GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Autocomplete,ua.yandex.shad.autocomplete,PrefixMatches.TrieIterator,4,78,1,17,1,20,1,11,0,3
Autocomplete,ua.yandex.shad.autocomplete,PrefixMatches.TrieIterable,0,17,0,0,0,5,0,3,0,3
Autocomplete,ua.yandex.shad.autocomplete,PrefixMatches,0,150,0,20,0,27,0,17,0,7
Autocomplete,ua.yandex.shad.collections,Queue,0,99,0,8,0,24,0,11,0,7
Autocomplete,ua.yandex.shad.collections,Queue.ListIterator,0,84,0,8,0,20,0,8,0,4
Autocomplete,ua.yandex.shad.collections,Queue.Node,0,6,0,0,0,1,0,1,0,1
Autocomplete,ua.yandex.shad.tries,RWayTrie.TreeIterable,0,18,0,0,0,4,0,3,0,3
Autocomplete,ua.yandex.shad.tries,RWayTrie.WordTree,0,7,0,0,0,2,0,1,0,1
Autocomplete,ua.yandex.shad.tries,Tuple,0,21,0,2,0,8,0,4,0,3
Autocomplete,ua.yandex.shad.tries,RWayTrie.TreeIterator,0,275,0,28,0,57,0,20,0,6
Autocomplete,ua.yandex.shad.tries,RWayTrie,0,290,0,48,0,69,0,36,0,12
